program,address,sources,aligned,after_boundary,prologue,verdict,size,caller_count,callee_count
wiz8--demo--wiz8--8acda50afe39,0050f3f0,call-target padding,yes,yes,,strong,48,1,0
wiz8--demo--wiz8--8acda50afe39,0050f420,call-target padding,yes,yes,,strong,160,1,0
wiz8--demo--wiz8--8acda50afe39,0050f4c0,call-target padding,yes,yes,push-esi,strong,112,1,1
wiz8--demo--wiz8--8acda50afe39,0050f530,call-target padding,yes,yes,sub-esp-imm8,strong,416,2,9
wiz8--demo--wiz8--8acda50afe39,0050f552,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,0050f562,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,0050f5de,padding,,yes,,rejected,,0,0
wiz8--demo--wiz8--8acda50afe39,0050f649,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,0050f6d0,call-target eh-record padding,yes,yes,eh-frame-setup,exact,784,1,7
wiz8--demo--wiz8--8acda50afe39,0050f9e0,call-target padding,yes,yes,,strong,112,1,3
wiz8--demo--wiz8--8acda50afe39,0050fa50,call-target,yes,yes,,strong,80,1,0
wiz8--demo--wiz8--8acda50afe39,0050faa0,call-target padding,yes,yes,,strong,48,1,0
