program,call_site,call_kind,function_start,name
wiz8--gog-base--wiz8--18a74ff61c65,0045d5ef,direct,0045d530,WayPoint Mesh
wiz8--gog-base--wiz8--18a74ff61c65,0045d842,direct,0045d530,WayPoint Mesh
wiz8--gog-base--wiz8--18a74ff61c65,0046dfed,direct,0046df90,
wiz8--gog-base--wiz8--18a74ff61c65,0046e0ec,direct,0046df90,
wiz8--gog-base--wiz8--18a74ff61c65,0046e1db,direct,0046e140,
wiz8--gog-base--wiz8--18a74ff61c65,0046f654,direct,0046f410,ST_CreateInstance
wiz8--gog-base--wiz8--18a74ff61c65,0046f71c,direct,0046f410,ST_CreateInstance
wiz8--gog-base--wiz8--18a74ff61c65,004764b3,direct,00476440,Sirtech Camera
wiz8--gog-base--wiz8--18a74ff61c65,0047c2d6,direct,0047c090,TGA-importer generated palette
wiz8--gog-base--wiz8--18a74ff61c65,0047c751,direct,0047c630,
wiz8--gog-base--wiz8--18a74ff61c65,00485bc3,direct,00485ab0,Read Mesh Duplicate Instance
wiz8--gog-base--wiz8--18a74ff61c65,0048637f,register-indirect,00485c10,
wiz8--gog-base--wiz8--18a74ff61c65,00486393,register-indirect,00485c10,ReadSTMeshFromFile
wiz8--gog-base--wiz8--18a74ff61c65,0048848b,register-indirect,00488240,
wiz8--gog-base--wiz8--18a74ff61c65,004884a9,register-indirect,00488240,Multi Mesh Instance
wiz8--gog-base--wiz8--18a74ff61c65,0048d647,direct,0048d080,Cube Number Material
wiz8--gog-base--wiz8--18a74ff61c65,0048d937,direct,0048d080,stCube
wiz8--gog-base--wiz8--18a74ff61c65,0048f996,direct,0048f940,Music Playlist
wiz8--gog-base--wiz8--18a74ff61c65,0048fd5c,direct,0048fc10,
wiz8--gog-base--wiz8--18a74ff61c65,0048fd8e,direct,0048fc10,
wiz8--gog-base--wiz8--18a74ff61c65,00498289,direct,00498180,
wiz8--gog-base--wiz8--18a74ff61c65,0049d587,direct,0049d500,MonFixedLight
wiz8--gog-base--wiz8--18a74ff61c65,0049f219,direct,0049f120,ItemRep::ReadFromFile
wiz8--gog-base--wiz8--18a74ff61c65,004a8dac,direct,004a8d50,Ground Shadow
wiz8--gog-base--wiz8--18a74ff61c65,004b5a6e,direct,004b58d0,Ani Mesh Duplicate Instance
wiz8--gog-base--wiz8--18a74ff61c65,004b5af9,direct,004b58d0,Ani Mesh Duplicate Instance
wiz8--gog-base--wiz8--18a74ff61c65,004b5eac,direct,004b5d00,AniMeshReallyReadFromFile
wiz8--gog-base--wiz8--18a74ff61c65,004b6028,direct,004b5d00,AniMeshReallyReadFromFile
wiz8--gog-base--wiz8--18a74ff61c65,004b9093,direct,004b8a70,
wiz8--gog-base--wiz8--18a74ff61c65,004b935b,direct,004b9280,
wiz8--gog-base--wiz8--18a74ff61c65,004b98cd,direct,004b9460,
wiz8--gog-base--wiz8--18a74ff61c65,004b99da,direct,004b98f0,
wiz8--gog-base--wiz8--18a74ff61c65,004bb151,direct,004baff0,ReadLevel
wiz8--gog-base--wiz8--18a74ff61c65,004bb98d,direct,004baff0,Unsunlit Prop Material
wiz8--gog-base--wiz8--18a74ff61c65,004bd000,direct,004bce20,
wiz8--gog-base--wiz8--18a74ff61c65,004bd2b5,direct,004bd0d0,
wiz8--gog-base--wiz8--18a74ff61c65,004c809b,direct,004c7e80,
wiz8--gog-base--wiz8--18a74ff61c65,004d6500,direct,004d6430,
wiz8--gog-base--wiz8--18a74ff61c65,0057ecfd,register-indirect,0057e660,
