program,address,section,storage,kind,reference_count,function_count,access_kinds,widths,extent_upper,extent_bytes,preview
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb960,.rdata,initialized,import-slot,2,1,read,4,005eb964,4,SR.DLL!?setWinding@srGERD@@QAEXW4e_winding@1@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb964,.rdata,initialized,import-slot,4,2,read,4,005eb968,4,SR.DLL!?setAmbientLight@srGERD@@QAEXABV?$srVector4T@M@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb968,.rdata,initialized,import-slot,3,3,read,4,005eb96c,4,SR.DLL!?testBoundingBox@srGERD@@QAE?AW4e_visibility@1@ABV?$srVector3T@M@@0@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb96c,.rdata,initialized,import-slot,4,3,read,4,005eb970,4,SR.DLL!?testBoundingSphere@srGERD@@QAE?AW4e_visibility@1@ABV?$srVector3T@M@@M@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb970,.rdata,initialized,import-slot,1,1,read,4,005eb974,4,SR.DLL!?translate@srGERD@@QAEXNNN@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb974,.rdata,initialized,import-slot,1,1,read,4,005eb978,4,SR.DLL!?setupST@srVertexPipe@@AAEXK@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb978,.rdata,initialized,import-slot,1,1,read,4,005eb97c,4,SR.DLL!?process@srFog@@UAEXAAVsrVertexPipe@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb97c,.rdata,initialized,import-slot,1,1,read,4,005eb980,4,SR.DLL!?isActive@srFog@@UAEHAAVsrVertexPipe@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb980,.rdata,initialized,import-slot,1,1,read,4,005eb984,4,SR.DLL!?process@srIlluminator@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb984,.rdata,initialized,import-slot,1,1,read,4,005eb988,4,SR.DLL!?traverse@srIlluminator@@UAEXAAVTraverseInfo@srNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb988,.rdata,initialized,import-slot,1,1,read,4,005eb98c,4,SR.DLL!?vInstance@srFog@@UAEPAVsrClass@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb98c,.rdata,initialized,import-slot,1,1,read,4,005eb990,4,SR.DLL!?verify@srFog@@UAEXW4e_verify@srRuntimeClass@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb990,.rdata,initialized,import-slot,1,1,read,4,005eb994,4,SR.DLL!?dump@srFog@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb994,.rdata,initialized,import-slot,1,1,read,4,005eb998,4,SR.DLL!??0srFog@@QAE@PAVsrNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb998,.rdata,initialized,import-slot,1,1,read,4,005eb99c,4,SR.DLL!??4srFog@@QAEAAV0@ABV0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb99c,.rdata,initialized,import-slot,1,1,read,4,005eb9a0,4,SR.DLL!??1srFog@@UAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9a0,.rdata,initialized,import-slot,2,2,read,4,005eb9a4,4,SR.DLL!?getReferenceCount@srClass@@QBEJXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9a4,.rdata,initialized,import-slot,2,2,read,4,005eb9a8,4,SR.DLL!?getPolyUVIndex@srMeshModel@@QAEPAVsrVector3i@@JH@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9a8,.rdata,initialized,import-slot,2,2,read,4,005eb9ac,4,SR.DLL!?setUVCount@srMeshModel@@QAEXJ@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9ac,.rdata,initialized,import-slot,2,2,read,4,005eb9b0,4,SR.DLL!??1Polygon@srModeler@@QAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9b0,.rdata,initialized,import-slot,1,1,read,4,005eb9b4,4,SR.DLL!?setShader@srModeler@@QAEXVsrShader@@J@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9b4,.rdata,initialized,import-slot,1,1,read,4,005eb9b8,4,SR.DLL!?setMaterial@srModeler@@QAEXPAVsrMaterialIFace@@JW4e_side@srMeshModel@@@Z
