program,address,claimed_name,owner,confidence,name_origin,authority,aliases,source_path,source_line
wiz8,004a9750,CreateRecord004A9750,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004aaac0,W8GrowableVector<W8VectorElement005ECF00 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004aaaf0,W8Vector005ECF00::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004aab10,W8Vector005ECF00::~W8Vector005ECF00,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004aad00,SpellObject5ECF18_ScalarDeletingDestructor,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ab290,W8SpellEmitterHost::SendToEmitter,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ab310,W8SpellEmitterHost::StopEmitter,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004abce0,SpellObject5ECF40_ScalarDeletingDestructor,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004abdc0,W8SpellVisual::StartIfHostActive,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ac360,W8SpellVisual::ApplyHostSetting98,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ac820,W8SpellVisual::GetActiveEmitter,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ac840,W8SpellVisual::GetEmitterCount,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ac870,W8SpellVisual::GetActiveEmitterValue,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ac890,W8SpellVisual::GetHost,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004ac9d0,GetSpellTargetType,wiz8-gameplay-database,strong,descriptive,descriptive,,,
wiz8,004aca00,IsSpellInSingledOutSet,wiz8-spell-system,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004aca60,CanSpellBackfire,wiz8-gameplay-database,strong,descriptive,descriptive,,,
wiz8,004acb40,MinimumCasterLevelForSpellLevel,wiz8-gameplay-database,strong,descriptive,descriptive,,,
wiz8,004acba0,GetMinimumCasterLevelForSpell,wiz8-gameplay-database,strong,descriptive,descriptive,,,
wiz8,004acc10,InitializeSpellDatabase,wiz8-gameplay-database,strong,descriptive,descriptive,,,
wiz8,004acd50,ReleaseSpellDatabase,wiz8-spell-system,exact,descriptive,descriptive,,Engine Code\\Spells.cpp,
wiz8,004addf0,W8GrowableVector<int>::Grow,wiz8-item-generation,exact,descriptive,descriptive,,,
wiz8,004af690,W8Vector005ED018::W8Vector005ED018,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004af6f0,W8Vector005ED018::~W8Vector005ED018,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004af710,W8GrowableVector<W8VectorElement005ED018 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004af740,W8Vector005ED018::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004b6900,GrCycleBase004B6900::GrCycleBase004B6900,wiz8-engine-code,strong,descriptive,descriptive,,,
wiz8,004b6bd0,W8GrObject005ED090::AddSoundEvent,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrObject.cpp,
wiz8,004b6d90,W8GrowableVector<W8VectorElement005ED094 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrObject.cpp,
wiz8,004b6dc0,W8SoundEventVector005ED094::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrObject.cpp,
wiz8,004b6de0,W8SoundEventVector005ED094::~W8SoundEventVector005ED094,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrObject.cpp,
wiz8,004b6e00,GDProp::GDProp,wiz8-engine-code,exact,original-source-path,string-backed,,Engine Code\GDProp.cpp,
wiz8,004b6ed0,GDProp::~GDProp,wiz8-engine-code,exact,original-source-path,string-backed,,Engine Code\GDProp.cpp,
wiz8,004bdfe0,W8Vector005ED1B8::~W8Vector005ED1B8,wiz8-engine-code,exact,descriptive,descriptive,,,
