function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f380,1,1.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f380,1,1.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040f380,1,1.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f380,1,1.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,no-text-section
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,protected-executable
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,no-text-section
DDGetSurfaceCaps,35,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,eadfde21ed070b40b3cef45111c164ab9d942f8c815ac9bcf1532287ae85894e,protected-executable
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f4e0,1,1.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f180,1,1.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f180,1,1.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040f180,1,1.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f180,1,1.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,no-text-section
DDGetSurfaceDescription,51,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989,protected-executable
