program,module,table,class_name,enclosing_scope,subobject,table_rva,slot,target_rva,target_name,target_signature,resolution
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srGERD@@6B@,srGERD,,,0x766b0,0,0x1cd40,?getClassName@srGERD@@UBEPBDXZ,public: virtual char const * __thiscall srGERD::getClassName(void) const,exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srGERD@@6B@,srGERD,,,0x766b0,1,0x1cd50,?getClassID@srGERD@@UBEKXZ,public: virtual unsigned long __thiscall srGERD::getClassID(void) const,exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srGERD@@6B@,srGERD,,,0x766b0,2,0x1cd30,?getClassNode@srGERD@@UBEPAVClassNode@srRegistry@@XZ,public: virtual class srRegistry::ClassNode * __thiscall srGERD::getClassNode(void) const,exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srGERD@@6B@,srGERD,,,0x766b0,3,0x1cd60,?dump@srGERD@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,"public: virtual void __thiscall srGERD::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srGERD@@6B@,srGERD,,,0x766b0,4,0x117a0,?verify@srRuntimeClass@@UAEXW4e_verify@1@@Z,public: virtual void __thiscall srRuntimeClass::verify(enum srRuntimeClass::e_verify),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srGERD@@6B@,srGERD,,,0x766b0,5,0x1b510,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srHierarchyIOManager@@6B@,srHierarchyIOManager,,,0x75530,0,0x165e0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIOManager@@6B@,srIOManager,,,0x76960,0,0x2d030,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,0,0x4c050,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,1,0x4c040,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,2,0x4c060,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,3,0x513c0,?dump@srNode@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,"public: virtual void __thiscall srNode::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,4,0xe050,?verify@srClass@@UAEXW4e_verify@srRuntimeClass@@@Z,public: virtual void __thiscall srClass::verify(enum srRuntimeClass::e_verify),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,5,0x4cc50,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,6,0x51cd0,?vInstance@srNode@@UAEPAVsrClass@@XZ,public: virtual class srClass * __thiscall srNode::vInstance(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,7,0x4c0c0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,8,0x4c9e0,?traverse@srIlluminator@@UAEXAAVTraverseInfo@srNode@@@Z,public: virtual void __thiscall srIlluminator::traverse(class srNode::TraverseInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,9,0x4c900,?process@srIlluminator@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z,"public: virtual void __thiscall srIlluminator::process(struct srNode::ProcessInfo const &, enum srNode::e_processType)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,10,0x50510,?getLocalBounds@srNode@@UAEXAAUBoundInfo@1@@Z,public: virtual void __thiscall srNode::getLocalBounds(struct srNode::BoundInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,11,0x50500,?updateBounds@srNode@@UAEXXZ,public: virtual void __thiscall srNode::updateBounds(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srIlluminator,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x77074,12,0x50690,?processSignal@srNode@@MAEHKPAX@Z,"protected: virtual int __thiscall srNode::processSignal(unsigned long, void *)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6BsrVertexProcessor@@@,srIlluminator,,srVertexProcessor,0x77068,0,0x4ccb0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6BsrVertexProcessor@@@,srIlluminator,,srVertexProcessor,0x77068,1,0x35470,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srIlluminator@@6BsrVertexProcessor@@@,srIlluminator,,srVertexProcessor,0x77068,2,0x35480,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,0,0x4ef90,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,1,0x4ef80,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,2,0x4efa0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,3,0x4e0c0,?dump@srLight@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,"public: virtual void __thiscall srLight::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,4,0xe050,?verify@srClass@@UAEXW4e_verify@srRuntimeClass@@@Z,public: virtual void __thiscall srClass::verify(enum srRuntimeClass::e_verify),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,5,0x4ef20,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,6,0x51cd0,?vInstance@srNode@@UAEPAVsrClass@@XZ,public: virtual class srClass * __thiscall srNode::vInstance(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,7,0x4f030,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,8,0x4dc80,?traverse@srLight@@UAEXAAVTraverseInfo@srNode@@@Z,public: virtual void __thiscall srLight::traverse(class srNode::TraverseInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,9,0x4d650,?process@srLight@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z,"public: virtual void __thiscall srLight::process(struct srNode::ProcessInfo const &, enum srNode::e_processType)",exported
