program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f8e70,.rdata,vftable,16,code-reference-boundary,3,0x0,8,0,0,0x1f8
wiz8--demo--wiz8--8acda50afe39,005f8eb0,.rdata,vftable,5,code-reference-boundary,2,0x0,0,1,0,0x1f8
wiz8--demo--wiz8--8acda50afe39,005f8ec4,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,0x10|0x1f8
wiz8--demo--wiz8--8acda50afe39,005f8ec8,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,0x10|0x1f8
wiz8--demo--wiz8--8acda50afe39,005f8ecc,.rdata,vftable,1,code-reference-boundary,6,0x0,0,0,0,0x10|0x1f8
wiz8--demo--wiz8--8acda50afe39,005f8ed0,.rdata,vftable,1,code-reference-boundary,5,0x0,0,0,0,0x10|0x1f8
wiz8--demo--wiz8--8acda50afe39,005f8ed4,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8ed8,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8edc,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8ee0,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8ef8,.rdata,vftable,1,code-reference-boundary,5,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f8efc,.rdata,vftable,1,code-reference-boundary,5,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f8f10,.rdata,vftable,5,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8f24,.rdata,vftable,5,code-reference-boundary,3,0x18,0,1,0,
