program,site,function_start,object_offset,vtable,allocation_size
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5ee2,004a5e50,0x0,005ece78,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5fd1,004a5f20,0x0,005ece78,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5fd7,004a5f20,0x0,005eceb8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a602f,004a5f20,0x0,005ec294,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a60b6,004a5f20,0x0,005ecca4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a60eb,004a5f20,0x0,005ecc64,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a60f1,004a5f20,0x138,005ecc58,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6248,004a5f20,0x0,005eced8,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6267,004a5f20,0x0,005eced4,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6272,004a5f20,0x0,005eced4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a63dd,004a5f20,0x0,005eced0,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a63fc,004a5f20,0x0,005ececc,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6407,004a5f20,0x0,005ececc,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6632,004a5f20,0x0,005ece78,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6aaa,004a6970,0x20,005ec270,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6aca,004a6970,0x20,005ec26c,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6b2d,004a6970,0x0,005eced0,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6b50,004a6970,0x0,005ececc,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6bde,004a6970,0x0,005ececc,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a6d23,004a6970,0x20,005ec270,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8573,004a84c0,0x0,005eced8,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8596,004a84c0,0x0,005eced4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a85a5,004a84c0,0x0,005eced4,
