program,funcinfo,magic,handler_thunk,frame_setup,eh_setup_start,max_state,try_block_count,unwind_signature
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2350,19930520,005e5d56,004a3fc2,004a3fc0,2,0,2|0|-1:pointer:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2380,19930520,005e5d6b,004a5d42,004a5d40,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f23a8,19930520,005e5d88,004a5e52,004a5e50,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f23d0,19930520,005e5e1c,004a5f22,004a5f20,12,0,12|0|-1:pointer:-32|0:pointer:-32|1:pointer:-40|1:pointer:-40|3:pointer-import:-40|3:pointer:-40|1:pointer:-40|1:pointer:-40|1:pointer:-40|1:pointer:-44|9:pointer:-28|1:pointer:4
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2450,19930520,005e5e5f,004a6612,004a6610,2,0,2|0|-1:pointer:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2480,19930520,005e5ea4,004a6972,004a6970,5,0,5|0|-1:pointer:-56|-1:pointer:-56|-1:pointer:-56|-1:object:-52|3:pointer:-56
wiz8--gog-1261--wiz8new--57a3072c2f83,005f24c8,19930520,005e5ebb,004a8532,004a8530,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f24f0,19930520,005e5edb,004a89a8,004a89a6,1,0,1|0|-1:pointer:4
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2518,19930520,005e5efb,004a8d52,004a8d50,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2540,19930520,005e5f1b,004a92a8,004a92a6,1,0,1|0|-1:pointer:-100
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2568,19930520,005e5f3b,004a9752,004a9750,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2590,19930520,005e5f5b,004a98c8,004a98c6,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f25b8,19930520,005e5fb7,004aad28,004aad26,6,0,6|0|-1:pointer:-36|0:pointer:-36|1:pointer:-52|1:pointer:-28|3:pointer-import:-28|3:pointer:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2608,19930520,005e5ff0,004ab1c2,004ab1c0,2,0,2|0|-1:pointer:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2638,19930520,005e600b,004ab342,004ab340,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2660,19930520,005e6047,004ab588,004ab586,3,0,3|0|-1:pointer:-772|0:pointer:-772|-1:pointer:-776
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2698,19930520,005e607b,004abbb2,004abbb0,3,0,3|0|-1:pointer:-20|0:pointer:-16|1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f26d0,19930520,005e6098,004abd02,004abd00,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f26f8,19930520,005e60bb,004ade72,004ade70,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2720,19930520,005e60f1,004aded2,004aded0,3,0,3|0|-1:pointer:-16|0:pointer:12|0:pointer:12
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2758,19930520,005e610b,004ae082,004ae080,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2780,19930520,005e6131,004ae6d2,004ae6d0,2,0,2|0|-1:pointer-import:-16|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f27b0,19930520,005e615c,004ae8b2,004ae8b0,3,0,3|0|-1:pointer:-16|0:pointer-import:-16|0:pointer:-16
