program,funcinfo,state,to_state,kind,frame_offset,target,import_slot,import_name,import_signature,element_destructor
wiz8--demo--wiz8--8acda50afe39,005fd040,1,-1,pointer,-44,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd070,0,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd098,0,-1,pointer,8,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd098,1,-1,pointer,8,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd0c8,0,-1,pointer,4,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd0f0,0,-1,pointer,4,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,0,-1,pointer-import,-16,,005f76d4,sr.dll!??1srMeshModel@@MAE@XZ,protected: virtual __thiscall srMeshModel::~srMeshModel(void),
wiz8--demo--wiz8--8acda50afe39,005fd118,1,-1,pointer,-16,00477500,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,2,1,pointer,-16,005eb011,,,,00477730
wiz8--demo--wiz8--8acda50afe39,005fd118,3,2,pointer,-16,00477730,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,4,3,pointer,-16,00477ab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,5,4,pointer,-16,00477ad0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,6,5,pointer,-16,00447300,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,7,6,pointer,-16,00477af0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd118,8,7,pointer,-16,00477af0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,0,-1,pointer,-16,00477500,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,1,0,pointer,-16,005eb011,,,,00477730
wiz8--demo--wiz8--8acda50afe39,005fd180,2,1,pointer,-16,00477730,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,3,2,pointer,-16,00477ab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,4,3,pointer,-16,00477ad0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,5,4,pointer,-16,00447300,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,6,5,pointer,-16,00477af0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,7,6,pointer,-16,00477af0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd180,8,-1,pointer-import,-16,,005f76d4,sr.dll!??1srMeshModel@@MAE@XZ,protected: virtual __thiscall srMeshModel::~srMeshModel(void),
wiz8--demo--wiz8--8acda50afe39,005fd1e8,0,-1,pointer,-24,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd1e8,1,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd1e8,2,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd1e8,3,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd228,0,-1,pointer-import,-16,,005f76d4,sr.dll!??1srMeshModel@@MAE@XZ,protected: virtual __thiscall srMeshModel::~srMeshModel(void),
wiz8--demo--wiz8--8acda50afe39,005fd250,0,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,0,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,1,0,pointer,4,00477730,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,2,1,pointer,4,00477730,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,3,2,pointer,4,00473060,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,4,3,pointer,4,00473060,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,5,4,pointer,4,00473060,,,,
wiz8--demo--wiz8--8acda50afe39,005fd278,6,5,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd2d0,0,-1,pointer,-16,00477730,,,,
wiz8--demo--wiz8--8acda50afe39,005fd2d0,1,0,pointer,-16,00477730,,,,
wiz8--demo--wiz8--8acda50afe39,005fd2d0,2,1,pointer,-16,00473060,,,,
wiz8--demo--wiz8--8acda50afe39,005fd2d0,3,2,pointer,-16,00473060,,,,
wiz8--demo--wiz8--8acda50afe39,005fd2d0,4,3,pointer,-16,00473060,,,,
wiz8--demo--wiz8--8acda50afe39,005fd318,0,-1,pointer,-40,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd340,0,-1,pointer,-72,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fd368,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd390,0,-1,none,,,,,,
wiz8--demo--wiz8--8acda50afe39,005fd390,1,-1,none,,,,,,
wiz8--demo--wiz8--8acda50afe39,005fd3e8,0,-1,pointer-import,-16,,005f78d0,sr.dll!??1srTexture@@MAE@XZ,protected: virtual __thiscall srTexture::~srTexture(void),
wiz8--demo--wiz8--8acda50afe39,005fd3e8,1,-1,pointer,-16,0047fd50,,,,
wiz8--demo--wiz8--8acda50afe39,005fd418,0,-1,pointer,-16,0047fd50,,,,
wiz8--demo--wiz8--8acda50afe39,005fd418,1,-1,pointer-import,-16,,005f78d0,sr.dll!??1srTexture@@MAE@XZ,protected: virtual __thiscall srTexture::~srTexture(void),
wiz8--demo--wiz8--8acda50afe39,005fd448,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd470,0,-1,pointer-import,-56,,005f78ec,sr.dll!??1srBinStream@@UAE@XZ,public: virtual __thiscall srBinStream::~srBinStream(void),
wiz8--demo--wiz8--8acda50afe39,005fd470,1,0,pointer-import,-52,,005f78e8,sr.dll!??1srBinIStream@@UAE@XZ,public: virtual __thiscall srBinIStream::~srBinIStream(void),
wiz8--demo--wiz8--8acda50afe39,005fd470,2,1,object,-36,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd470,3,2,object,-24,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd470,4,3,object,-48,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd4b8,0,-1,object,-24,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd4b8,1,0,object,-36,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd4b8,2,0,object,-36,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd4b8,3,0,object,-36,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd4b8,4,0,object,-36,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd500,0,-1,pointer,-28,0047f2d0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd500,1,0,object,-24,0047f2d0,,,,
