program,storage_class,unit,lower,upper,baseline_globals
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\CharGeneration.cpp,0061f1ec,0061f1fc,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\ButtonSound.cpp,0062a458,0062a5c4,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Party Import.cpp,0062a5f8,0062a7e8,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\chunk.cpp,0062a834,0062a880,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\InputMapper.cpp,00647770,00647b7c,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MainGameScreen.cpp,00647d30,00648ce0,35
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\mipe.cpp,0064a1cc,0064b794,83
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\AutomapScreen.cpp,0064b7a4,0064ba6c,18
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSTextBox.cpp,0064bd10,0064c124,23
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSButtons.cpp,0064c5e0,0064c5f0,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSPortraits.cpp,0064c688,0064c740,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSUseItemSelect.cpp,0064c76c,0064c824,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSSpellCasting.cpp,0064c840,0064c94c,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSPartyMovement.cpp,0064c96c,0064cb70,11
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\ReviewCharacterScreen.cpp,0064cbf4,0064cf0c,8
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\OptionsScreen.cpp,0064d7f0,0064d80c,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\IntroScreen.cpp,0064d8ac,0064d9fc,6
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MGSSpellIcons.cpp,0064da34,0064da8c,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\RCSCommon.cpp,0064dad0,0064dcf4,15
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\RCSItemsPage.cpp,0064dd6c,0064de60,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\MainMenuScreen.cpp,0064de94,0064df08,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\mipeEdit.cpp,0064edf8,0064eeb0,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Screens\CGSStatsPage.cpp,0064f278,0064f288,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\stListBox.cpp,0064f3bc,0064f3bc,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\DialogInterface.cpp,0064f50c,0064f554,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\stMessageDialog.cpp,0064f5b0,0064f5f4,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\AssayDialog.cpp,0064f684,0064fbc0,22
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\stButton.cpp,0064fc94,0064fc9c,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\SpellInfoDialog.cpp,0064fcd0,0064fdd4,8
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Dialog Code\ProfRaceInfoDialog.cpp,0064ffb0,006501a4,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,3D Code\PList.cpp,00650290,006502f8,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,3D Code\IList.cpp,00650300,00650330,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Traps.cpp,00650550,00650560,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\GameData.cpp,005ebc48,005ebcc0,16
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\BitArray.cpp,005ec0c8,005ec0c8,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Trigger.cpp,005ec124,005ec158,8
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Prop.cpp,005ec1c8,005ec1e4,4
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\3dapi.cpp,005ec1f8,005ec290,15
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\OctPath.cpp,005ec348,005ec3d0,18
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\3d.cpp,005ec420,005ec430,3
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\stMeshModel.cpp,005ec508,005ec50c,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Environment.cpp,005ec908,005ec990,11
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\ReadMesh.cpp,005eca58,005eca58,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\MonGen.cpp,005eca78,005eca8c,5
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\stCube.cpp,005ecab8,005ecac0,3
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Cursor3d.cpp,005ecb08,005ecb08,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\stParticle.cpp,005ecbd0,005ecc40,5
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Item.cpp,005ecd70,005ecd80,3
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\AnimObj.cpp,005ecda0,005ecdb0,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Missile.cpp,005ecde0,005ece50,4
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\GrCycle.cpp,005ece78,005ecee0,8
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\PathAI.CPP,005ecf00,005ecf04,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Spells.cpp,005ecf18,005ecf40,3
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\AnimRep.cpp,005ed050,005ed050,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\GrObject.cpp,005ed094,005ed098,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\ReadLevel.cpp,005ed180,005ed1c0,5
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\quad.cpp,005ed1e8,005ed1e8,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Engine Code\Monster.cpp,005ed1f0,005ed2b8,12
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Level Specific Code\Cosmic Circle.cpp,005ed43c,005ed43c,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\GameplayCode.cpp,005ed518,005ed520,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Controls.cpp,005ed56c,005ed66c,8
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\ItemManager.cpp,005ed7a8,005ed7c0,3
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Magic.cpp,005ed7d0,005ed7d0,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\NPC Manager.cpp,005ed810,005ed810,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\MonsterGroup.cpp,005ed828,005ed828,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Combat Range.cpp,005ed868,005ed868,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\NPC Scripting.cpp,005ed8e0,005ed8ec,2
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Health Stamina Mana.cpp,005ed900,005ee5f8,6
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\MonsterAI.cpp,005ee770,005ee780,5
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Combat Attack.cpp,005ee7a0,005ee7e8,10
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Magic Effects.cpp,005ee838,005ee838,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\Formation & Facing.cpp,005ee858,005ee858,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\chunk.cpp,005ee8cc,005ee8cc,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Code\InputMapper.cpp,005ee8f8,005ee8f8,1
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Screens\MainGameScreen.cpp,005ee998,005ee9a4,4
wiz8--gog-base--wiz8--18a74ff61c65,.rdata/initialized,Local Screens\AutomapScreen.cpp,005eea34,005eea48,6
