container,binary_path,binary_sha256,record_kind,origin,encoding,extension,value
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\OctBuildPreTree.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\OctBuildTree.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\OctPath.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\OctPrePath.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\OctPreTree.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Octree.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\OctSubMesh.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\PathAI.CPP
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Prop.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\quad.cpp
